,Price,Id
0,166787.21438702344,725
1,176189.80388314935,15856
2,210327.6477474943,5480
3,347255.3636630897,15664
4,143013.55591337048,14275
5,212045.39443758046,7633
6,185241.24710359809,13329
7,213883.85515811044,5502
8,316363.55338097777,4220
9,216347.96152192968,11538
10,271205.431294353,15975
11,222141.80306388333,3310
12,150836.7276529357,9286
13,204119.4935383992,11260
14,107623.81890100332,5214
15,180332.86153939413,11307
16,378931.2657590467,13543
17,171021.78285507296,615
18,209780.60559156252,3495
19,236378.23607393357,2321
20,181884.96896707924,12046
21,144303.2328585255,16688
22,197663.77676650332,12694
23,150030.4244989672,783
24,166976.42614220857,8968
25,178682.44405058568,13454
26,258297.17481476572,12190
27,114315.00960822952,11160
28,196480.50007808558,10291
29,280979.4252019484,891
30,181310.5752861722,2982
31,241977.69502307122,3818
32,214964.2682213912,2449
33,171594.46296095412,8317
34,179651.89655424334,4922
35,259675.88925317788,1257
36,209670.3566648608,9348
37,206075.5747086527,4176
38,175977.33730861192,10704
39,113680.22976441382,6624
40,167399.9737473689,5428
41,184553.73294129976,12749
42,216397.21869966525,8994
43,132114.53920534547,11513
44,196193.24970631476,3047
45,220711.0899448056,9519
46,233532.28176155942,12309
47,285171.6424774032,14081
48,255853.74094280254,8334
49,177592.1622631486,6343
50,129006.81982486554,14788
51,165609.50017714643,15748
52,252920.23518858055,153
53,202864.04018495136,14149
54,183990.2376332318,269
55,132712.1980478972,5452
56,174319.25924565585,721
57,346922.54336247424,5079
58,142425.61197211134,2831
59,118364.53688022723,10614
60,248620.68971582226,10131
61,290110.0999389297,9996
62,199335.1361122894,3061
63,366567.20122287015,11733
64,264415.49666503933,3726
65,208561.86072557743,10929
66,186524.5292936091,9011
67,306724.81641508057,16182
68,179258.65531848784,4976
69,247623.2443711614,9897
70,185270.74110698112,1872
71,365572.2599539931,9205
72,391796.773170713,5403
73,185445.72798234786,14074
74,154625.34095229118,6268
75,166969.2763183145,14232
76,225217.13927271625,8532
77,291348.06554355955,7034
78,412074.9924165555,6553
79,176899.94754117695,3133
80,196902.01020253918,8596
81,237362.217839303,12389
82,178723.9922851706,14462
83,351258.1767842223,8860
84,276236.1641714356,8377
85,313588.07975333213,6367
86,253242.83534938257,6917
87,190910.78883069928,4216
88,163812.97707304143,5806
89,179864.36073115995,5438
90,200779.60425301734,6632
91,161980.2580357132,2650
92,217244.92369878638,5396
93,152003.0697834365,4044
94,203083.84199637023,1345
95,189412.77352629145,856
96,259260.79278449164,12791
97,220190.69203836465,12499
98,127967.74041825246,12249
99,162847.31676476222,14641
100,156938.1286208291,1919
101,220031.74998615118,7848
102,180183.0898272458,10749
103,191100.5469051602,15554
104,173099.11892449876,15834
105,168125.90055725805,1355
106,189621.35529025664,15451
107,211316.5819640425,12401
108,163900.60575005435,10290
109,107309.6145049851,9462
110,253898.0647847604,3103
111,162663.24967558178,3420
112,250762.23901809234,12262
113,178445.95498848017,5032
114,294599.3838917053,8949
115,219097.65099185443,15567
116,150882.8646333266,16389
117,99519.27798605434,7809
118,165343.10298278523,8990
119,270667.6399843218,16089
120,106079.93388719072,12743
121,127323.43183621234,5132
122,294460.3689325819,1619
123,93105.89844825873,2428
124,168727.08418676432,16741
125,214265.2901795175,13193
126,378282.27648724173,12588
127,175897.18889886644,5067
128,126687.22531354942,14685
129,169244.77149653624,2292
130,128685.95102672777,5746
131,176723.5529228553,12578
132,171680.7405371219,14834
133,175400.6995242448,2147
134,128140.96120368512,8222
135,247086.15827093634,10419
136,205485.97532992502,11492
137,212032.55615327775,3006
138,202548.0216021717,8761
139,363919.3259624322,15371
140,164892.95155201427,16367
141,274627.2353882293,6317
142,327871.1302313091,10878
143,157834.37480577358,3895
144,145381.4862860259,8041
145,386883.34108291485,13428
146,165641.09783791445,14669
147,171624.5918173186,1006
148,179534.1226542014,12271
149,398181.54320489103,3764
150,184953.3745371729,7675
151,265633.0157367512,11709
152,170708.2090568547,8629
153,349711.0986484192,1105
154,161875.57202610324,6096
155,202708.646208593,11727
156,176833.87313340584,5157
157,159487.4737324352,3679
158,136580.88405464435,1755
159,206893.68791958925,7391
160,102009.06051093005,7425
161,397322.93681461405,6882
162,404478.18750056124,10752
163,208763.74550205877,7472
164,103893.6674012505,14320
165,161727.24407903437,9596
166,228068.26413144407,5317
167,93710.31364880475,7378
168,182095.00862357934,16154
169,184438.40181418692,3464
170,239139.32810593786,4197
171,109206.94838389472,9477
172,206818.96499208678,12705
173,200983.81671789478,16426
174,65266.91433167123,1481
175,246774.0696936858,9946
176,208588.58115217468,12025
177,247936.29140892878,5341
178,319957.9288810098,9923
179,289865.63546352973,7953
180,261217.46119930074,11066
181,173761.27695028155,5037
182,190687.7961542733,2509
183,350056.533968921,4937
184,386583.6798550385,12089
185,166796.04579135455,4964
186,273346.21429610794,16500
187,139768.0283969957,4625
188,379464.457491087,2363
189,180535.9791270341,8148
190,179847.68502130243,3804
191,166816.35817827974,4584
192,114154.88788068744,10694
193,176230.412936937,2691
194,231851.04565765944,2983
195,314491.8427228329,13563
196,222716.07800849737,10747
197,208584.94420869288,1721
198,275536.7614768676,2789
199,258757.26996500892,7214
200,243495.50455032557,8659
201,294537.3419601824,5107
202,243009.22585987882,3843
203,368002.093395525,14610
204,167363.6874640187,15505
205,268620.27360167116,5060
206,241692.5265271621,16055
207,197171.43968284514,14963
208,148837.02475782757,4118
